"Time","Vhcl.YawAcc"
"C1","C1"
"s","rad/s^2"
19.721,0.6688965559
19.731,0.6781130433
19.741,0.6679868102
19.751,0.6604947448
19.761,0.6669309139
19.771,0.6647305489
19.781,0.6561743617
19.791,0.657700479
19.801,0.6591997743
19.811,0.6526306868
19.821,0.6494199634
19.831,0.6496385932
19.841,0.6446015239
19.851,0.6386191249
19.861,0.6362497211
19.871,0.632045567
19.881,0.6255329847
19.891,0.6213406324
19.901,0.6176126003
19.911,0.6119043827
19.921,0.6062342525
19.931,0.6019056439
19.941,0.5971949697
19.951,0.5918263793
19.961,0.5869490504
19.971,0.5818110704
19.981,0.576141119
19.991,0.5701211095
20.001,0.5638383031
20.011,0.5572832227
20.021,0.5504320264
20.031,0.5436015725
20.041,0.537003696
20.051,0.5305836201
20.061,0.5243999958
20.071,0.5184810162
20.081,0.5126350522
20.091,0.5066999197
20.101,0.5006136298
20.111,0.4942510724
20.121,0.487516433
20.131,0.480458051
20.141,0.4731414616
20.151,0.4656206071
20.161,0.4580277503
20.171,0.4504789114
20.181,0.443020016
20.191,0.4356955886
20.201,0.4285289347
20.211,0.4214774966
20.221,0.4144886434
20.231,0.4074870348
20.241,0.4004050791
20.251,0.3932123482
20.261,0.3858892322
20.271,0.3784352541
20.281,0.3708790839
20.291,0.3632568121
20.301,0.3556486964
20.311,0.3480872512
20.321,0.3405704796
20.331,0.3331293166
20.341,0.3257758319
20.351,0.3184746504
20.361,0.3112113774
20.371,0.3039695919
20.381,0.2967271507
20.391,0.2894791067
20.401,0.2822341323
20.411,0.2749948204
20.421,0.2677720487
20.431,0.2606021464
20.441,0.2534892261
20.451,0.2463911176
20.461,0.2393498868
20.471,0.2324071974
20.481,0.2255160511
20.491,0.2186697125
20.501,0.2119208127
20.511,0.2052346021
20.521,0.1985812783
20.531,0.1919699013
20.541,0.1854673177
20.551,0.1790521145
20.561,0.1726554036
20.571,0.1663290262
20.581,0.1601173282
20.591,0.1539442986
20.601,0.147805348
20.611,0.1417865753
20.621,0.1358581334
20.631,0.1299436092
20.641,0.1241095215
20.651,0.1184167117
20.661,0.1127979308
20.671,0.1071746722
20.681,0.1016488522
20.691,0.0962786302
20.701,0.09093829989
20.711,0.0856270045
20.721,0.08049184084
20.731,0.07547269762
20.741,0.07042783499
20.751,0.06548409909
20.761,0.0607483536
20.771,0.0560275875
20.781,0.05127634853
20.791,0.04673883691
20.801,0.04236184806
20.811,0.03787584975
20.821,0.03347527236
20.831,0.02940452099
20.841,0.02529296279
20.851,0.0210312698
20.861,0.0170878116
20.871,0.01334043965
20.881,0.009339551441
20.891,0.005408730358
20.901,0.00197401573
20.911,-0.001507752691
20.921,-0.005328746978
20.931,-0.008688148111
20.941,-0.01156200282
20.951,-0.01492976863
20.961,-0.01848725975
20.971,-0.0211127419
20.981,-0.02363421023
20.991,-0.02718271501
21.001,-0.03025675751
21.011,-0.0319654122
21.021,-0.03460249677
21.031,-0.03845805675
21.041,-0.04042155668
21.051,-0.04128666967
21.061,-0.04486149177
21.071,-0.04869944602
21.081,-0.04860758036
21.091,-0.04938698933
21.101,-0.05483304709
21.111,-0.05718975887
21.121,-0.05426254123
21.131,-0.05718905479
21.141,-0.06484861672
21.151,-0.06274852157
21.161,-0.05762768909
21.171,-0.06651564687
21.181,-0.07425132394
21.191,-0.06328573823
21.201,-0.06043937802
21.211,-0.07989621907
21.221,-0.0800813809
21.231,-0.05653684214
21.241,-0.0678448379
21.251,-0.09888010472
21.261,-0.07475853711
21.271,-0.04297477752
21.281,-0.09029551595
21.291,-0.1192418411
21.301,-0.05025706813
21.311,-0.03139844164
21.321,-0.107595399
21.331,-0.1209489852
21.341,-0.04226189852
21.351,-0.03582367674
21.361,-0.1153469086
21.371,-0.1185993701
21.381,-0.03902010992
21.391,-0.0416729711
21.401,-0.1208828613
21.411,-0.1131447032
21.421,-0.03497368097
21.431,-0.05078591779
21.441,-0.128981784
21.451,-0.112084493
21.461,-0.03835879266
21.471,-0.06095219404
21.481,-0.1323778629
21.491,-0.1062276289
21.501,-0.03668117896
21.511,-0.06516009569
21.521,-0.1307633519
21.531,-0.09900058806
21.541,-0.03428870812
21.551,-0.06624151021
21.561,-0.1268245578
21.571,-0.09366679192
21.581,-0.03455216065
21.591,-0.06480643898
21.601,-0.1191557273
21.611,-0.0919310376
21.621,-0.0404789187
21.631,-0.06180237606
21.641,-0.1076592281
21.651,-0.09056761861
21.661,-0.04779383168
21.671,-0.05834302306
21.681,-0.09475359321
21.691,-0.08740232885
21.701,-0.05393091589
21.711,-0.05614512041
21.721,-0.08365819603
21.731,-0.08317101747
21.741,-0.05830578133
21.751,-0.05562647805
21.761,-0.07590501755
21.771,-0.07936354727
21.781,-0.0615359731
21.791,-0.05649071559
21.801,-0.07104897499
21.811,-0.07639709115
21.821,-0.06387759
21.831,-0.05805236101
21.841,-0.06861309707
21.851,-0.07532206923
21.861,-0.06684206426
21.871,-0.0610124059
21.881,-0.07103715092
21.891,-0.07805012167
21.901,-0.06767086685
21.911,-0.06209144369
21.921,-0.07650835067
21.931,-0.08275742829
21.941,-0.06573561579
21.951,-0.06301410496
21.961,-0.08740060031
21.971,-0.08796864748
21.981,-0.05801997334
21.991,-0.06777603179
22.001,-0.109005928
22.011,-0.08813468367
22.021,-0.04027406126
22.031,-0.08591583371
22.041,-0.1419904083
22.051,-0.08914592862
22.061,-0.03477673233
22.071,-0.09062929451
22.081,-0.1487756819
22.091,-0.095553644
22.101,-0.04175332934
22.111,-0.09809437394
22.121,-0.1569383144
22.131,-0.1042667925
22.141,-0.05104842409
22.151,-0.1077169925
22.161,-0.1674754024
22.171,-0.1160580888
22.181,-0.06189907715
22.191,-0.1174398065
22.201,-0.1796329767
22.211,-0.1316484362
22.221,-0.07511628419
22.231,-0.1272918731
22.241,-0.1929198653
22.251,-0.1497203857
22.261,-0.09040996432
22.271,-0.1383443326
22.281,-0.2071820349
22.291,-0.1693434715
22.301,-0.1069488078
22.311,-0.150041163
22.321,-0.2217606157
22.331,-0.1902201325
22.341,-0.1246872321
22.351,-0.1606507152
22.361,-0.235445112
22.371,-0.2121405602
22.381,-0.143515259
22.391,-0.1708133519
22.401,-0.2480820417
22.411,-0.2341185957
22.421,-0.1631664336
22.431,-0.1799080223
22.441,-0.2582677007
22.451,-0.2559931874
22.461,-0.1846781671
22.471,-0.1884872913
22.481,-0.2645143569
22.491,-0.2765057087
22.501,-0.2098365873
22.511,-0.1992198229
22.521,-0.2685490251
22.531,-0.2959232926
22.541,-0.2400002182
22.551,-0.213145569
22.561,-0.2690090239
22.571,-0.3094207942
22.581,-0.269082278
22.591,-0.2279737294
22.601,-0.266315341
22.611,-0.3160165846
22.621,-0.2952141762
22.631,-0.2468249947
22.641,-0.2642222941
22.651,-0.3171314001
22.661,-0.3164306581
22.671,-0.270411402
22.681,-0.2660423517
22.691,-0.3134774864
22.701,-0.3317697644
22.711,-0.294149667
22.721,-0.2730522156
22.731,-0.3090576231
22.741,-0.3405068517
22.751,-0.3156855106
22.761,-0.2841483355
22.771,-0.3060233295
22.781,-0.3446087837
22.791,-0.3340682089
22.801,-0.2978170514
22.811,-0.3060011864
22.821,-0.3496370316
22.831,-0.3491100073
22.841,-0.3066290915
22.851,-0.3072408438
22.861,-0.3555930555
22.871,-0.3619560003
22.881,-0.3143602014
22.891,-0.3078309
22.901,-0.361566931
22.911,-0.3752473295
22.921,-0.3218678534
22.931,-0.3079364002
22.941,-0.3680254221
22.951,-0.3889580071
22.961,-0.3281461
22.971,-0.3067882061
22.981,-0.3745487332
22.991,-0.4025678635
23.001,-0.3349916339
23.011,-0.3054067791
23.021,-0.374679029
23.031,-0.4118017256
23.041,-0.3472242653
23.051,-0.3086570501
23.061,-0.3723564148
23.071,-0.4172025025
23.081,-0.3590653539
23.091,-0.3145089149
23.101,-0.3728643954
23.111,-0.4234777093
